year,month,day,amount
2023,11,11,21
2023,11,10,131
2023,11,9,147
2023,11,8,140
2023,11,7,109
2023,11,6,120
2023,11,5,18
2023,11,4,32
2023,11,3,122
2023,11,2,151
2023,11,1,122
2023,10,31,115
2023,10,30,134
2023,10,29,15
2023,10,28,16
2023,10,27,142
2023,10,26,149
2023,10,25,150
2023,10,24,174
2023,10,23,149
2023,10,22,18
2023,10,21,10
2023,10,20,141
2023,10,19,144
2023,10,18,179
2023,10,17,138
2023,10,16,138
2023,10,15,20
2023,10,14,25
2023,10,13,150
2023,10,12,137
2023,10,11,169
2023,10,10,120
2023,10,9,129
2023,10,8,116
2023,10,7,104
2023,10,6,10
2023,10,5,7
2023,10,4,1
2023,10,3,1
2023,10,2,0
2023,10,1,1
2023,9,30,3
2023,9,29,11
2023,9,28,98
2023,9,27,131
2023,9,26,124
2023,9,25,92
2023,9,24,13
2023,9,23,24
2023,9,22,107
2023,9,21,112
2023,9,20,122
2023,9,19,150
2023,9,18,116
2023,9,17,15
2023,9,16,15
2023,9,15,123
2023,9,14,125
2023,9,13,115
2023,9,12,130
2023,9,11,122
2023,9,10,18
2023,9,9,22
2023,9,8,109
2023,9,7,142
2023,9,6,152
2023,9,5,82
2023,9,4,66
2023,9,3,7
2023,9,2,5
2023,9,1,86
2023,8,31,119
2023,8,30,96
2023,8,29,95
2023,8,28,74
2023,8,27,12
2023,8,26,16
2023,8,25,100
2023,8,24,101
2023,8,23,119
2023,8,22,104
2023,8,21,107
2023,8,20,15
2023,8,19,10
2023,8,18,108
2023,8,17,112
2023,8,16,108
2023,8,15,87
2023,8,14,108
2023,8,13,8
2023,8,12,5
2023,8,11,101
2023,8,10,110
2023,8,9,109
2023,8,8,128
2023,8,7,86
2023,8,6,7
2023,8,5,15
2023,8,4,91
2023,8,3,102
2023,8,2,106
2023,8,1,96
2023,7,31,113
2023,7,30,3
2023,7,29,9
2023,7,28,110
2023,7,27,90
2023,7,26,110
2023,7,25,103
2023,7,24,83
2023,7,23,11
2023,7,22,13
2023,7,21,93
2023,7,20,96
2023,7,19,113
2023,7,18,112
2023,7,17,118
2023,7,16,1
2023,7,15,14
2023,7,14,88
2023,7,13,94
2023,7,12,107
2023,7,11,107
2023,7,10,110
2023,7,9,7
2023,7,8,19
2023,7,7,104
2023,7,6,112
2023,7,5,111
2023,7,4,109
2023,7,3,108
2023,7,2,4
2023,7,1,18
2023,6,30,110
2023,6,29,103
2023,6,24,8
2023,6,23,5
2023,6,22,12
2023,6,21,127
2023,6,20,105
2023,6,19,104
2023,6,18,11
2023,6,17,21
2023,6,16,99
2023,6,15,119
2023,6,8,109
2023,6,7,128
2023,6,6,139
2023,6,5,100
2023,6,4,9
2023,6,3,14
2023,6,2,124
2023,6,1,104
2023,5,31,107
2023,5,30,130
2023,5,29,103
2023,5,28,13
2023,5,27,21
2023,5,20,12
2023,5,19,137
2023,5,18,155
2023,5,17,138
2023,5,16,162
2023,5,15,155
2023,5,14,13
2023,5,13,22
2023,5,12,158
2023,5,11,134
2023,5,10,120
2023,5,9,148
2023,5,8,117
2023,5,7,18
2023,5,6,116
2023,5,5,92
2023,5,4,88
2023,5,3,4
2023,5,2,2
2023,5,1,2
2023,4,30,3
2023,4,29,13
2023,4,28,95
2023,4,27,107
2023,4,26,109
2023,4,25,123
2023,4,24,152
2023,4,23,142
